Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
mashtaresort.com,0,0,/mail.htm,0,http,0,0,2,2,0,2,0,1,0,1,2
en.wikipedia.org,0,0,/wiki/swee_waxbill,0,http,0,0,0,2,0,2,0,0,0,0,0
giraffe.uvm.edu,0,0,/~rgweb/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.inklineglobal.org,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
uds.uvm.edu,0,0,/,0,http,0,0,0,1,0,1,0,0,0,0,0
fb-securityloginfo407txt.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1
www.birdlife.org,0,0,/datazone/species/index.html,0,http,0,1,1,0,0,1,0,0,0,0,2
www.gommetermiche.it,0,0,/administrator/modules/auth.att.secure/login.htm,0,https,0,1,1,0,0,1,0,1,1,0,1
www.timeutilites.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.kenyabirds.org.uk,0,0,/barb-rf.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
www.fanworkrecs.com,0,0,/,0,http,0,0,0,1,1,1,0,0,1,0,1
www.lakehyco.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
greatwesterncatskills.com,0,0,/z/,0,https,0,0,0,0,0,0,0,1,0,0,2
www.birdlife.org,0,0,/datazone/species/index.html,0,http,0,1,1,0,0,1,0,0,0,0,2
ronin.com.pk,0,0,/hnm/logintoyahoomail.htm,0,http,0,2,0,1,1,1,0,1,0,0,1
mobile-free.kofoed-fr.com,0,0,/Compte/93843687342927348376/8325682376834768237648/09644/5d413/moncompte/index.php,1,http,0,2,1,1,1,1,0,1,1,0,1
anniey06l5.myjino.ru,1,0,/byte/Cookies/Cookies/Pelewura/onlineverifica@tion/Preview.htm,0,http,0,2,1,0,0,1,0,1,1,0,1
www.mbr-pwrc.usgs.gov,0,0,/id/framlst/i1820id.html,1,http,0,1,0,1,0,1,0,0,0,0,0
www.enins.com,0,0,/timesled/,0,http,0,0,0,0,0,1,0,0,0,0,2
sivasosb.org.tr,0,0,/webvc/index.php,0,http,0,2,1,1,1,1,0,1,0,0,2
kalempong-godang-2017.16mb.com,0,0,/blocked/recovery_login.html,1,http,0,2,2,0,1,0,0,1,1,0,1
ad-blockeds.com,0,0,/--/www.impots.gouv.fr/file/dd14aa66803d699fee4b16424002d39d/,1,http,0,1,1,1,1,1,0,1,1,0,1
uvm.phideltatheta.org,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.uvm.edu,0,0,/~vlrs/,0,http,0,0,0,1,0,1,0,0,0,0,0
system-tnc.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1
hoiniki.by,0,0,/wp-content/ngg/modules/1/sa/admin.html,0,http,0,0,1,1,0,1,0,1,0,0,2
abuv.com.br,0,0,/cliente.conectado33/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1
dooglinn.beget.tech,0,0,/pp1/web17asp/,0,http,0,0,0,0,0,0,0,1,0,0,0
www.hammersoftware.com,0,0,/calendar.html,0,http,0,2,0,0,0,0,0,0,0,0,1
sunnsand.biz,0,0,/pics/qgrpmkdbnfvcsxeropwkm/secureserver.caconexoes.com.br/home/login.php,0,http,0,1,1,1,0,1,0,1,1,0,1
luxuryupgradepro.com,0,0,/ymailNew/ymailNew/,0,http,0,0,0,0,0,1,0,1,0,0,1
www.geocities.com,0,0,/maxnkoko/index.html,0,http,0,2,0,2,0,2,0,0,0,0,2
ow.ly,0,0,/IIzC30bBG3c,0,http,0,0,0,1,0,1,0,1,1,1,2
safety-check-73652.esy.es,0,0,/index.html,1,http,0,2,0,1,1,1,0,1,1,0,1
133.130.103.10,0,1,/21/logar/,0,http,0,2,0,1,0,1,0,1,0,0,1
fgts-mobile.com,0,0,/processa.php,1,http,0,0,0,0,0,1,0,1,1,0,1
www.encodeteam.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.sixtop.co.uk,0,0,/,0,http,0,2,0,0,0,0,0,0,0,0,1
jam.canoe.ca,0,0,/movies/artists/g/gottfried_gilbert/1997/02/21/758674.html,0,http,0,2,1,0,0,0,0,0,0,0,0
wbmexed.com.ng,0,0,/Exchange/,0,http,0,0,0,1,1,1,0,1,1,0,1
safety-check-98735.esy.es,0,0,/index.html,1,http,0,2,0,1,1,1,0,1,1,0,1
www.uvm.edu,0,0,/~oies/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.awn.com,0,0,/mag/issue4.02/4.02pages/foraylittlejohn.php3,0,http,0,1,2,0,0,1,0,0,0,0,0
www.naturia.per.sg,0,0,/buloh/birds/pycnonotus_goiavier.htm,0,http,0,1,2,0,0,1,0,0,0,0,2
newsvanguard.in,0,0,/secure/BOA/home/info.php,0,http,0,0,1,1,0,1,0,1,0,0,2
www.samizcats.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
members.tripod.com,0,0,/starchan/,0,http,0,0,0,0,0,0,0,0,0,0,0
www.digital-sms-online.com.br,0,0,/rb001/apk/dll/,1,https,0,2,0,1,0,1,0,1,1,0,1
www.uvm.edu,0,0,/~photo/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.kasiakatz.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
cihancelikonline.com,0,0,/wp-content/upgrade/logining.php,0,http,0,0,2,1,1,1,0,1,1,0,1
www.uacp.org,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
www.uvm.edu,0,0,/~uvmcts/,0,http,0,0,0,1,0,1,0,0,0,0,0
forms.zohopublic.com,0,0,/foolieax/form/VERIFICATIONFROM/formperma/hg_466jHhCK6_6D61K5AC9eA4,0,https,0,0,1,0,0,0,0,1,0,0,0
www.osprey.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,0
www.dav-productions.com,0,0,/,1,http,0,0,0,1,1,1,0,0,1,0,1
mattewfisher1.000webhostapp.com,0,0,/sal/YAH%21%21./ya2/index.php,0,https,0,1,2,0,0,0,0,1,0,0,0
www.uvm.edu,0,0,/~rescue/,0,http,0,0,0,1,0,1,0,0,0,0,0
tinyurl.com,0,0,/kbvf6qz,0,http,0,0,0,0,0,0,0,1,0,1,0
previewphotos.16mb.com,0,0,/,0,http,0,0,0,0,0,0,0,1,0,0,1
www.vandongenav.nl,0,0,,0,http,0,0,0,1,0,1,0,0,0,0,1
incrivelpromocaomaster17.16mb.com,0,0,/registro.php,0,http,0,2,0,0,0,0,0,1,1,0,1
lacasadelcarpintec.com,0,0,/smp/yahoop.html,0,http,0,0,0,0,0,1,0,1,0,0,1
getpeopleplus.com,0,0,/EserviceMain/irs/ir/index.html,0,https,0,0,2,0,0,1,0,1,0,0,1
j-heaven.tripod.com,0,0,/library.htm,1,http,0,2,0,0,0,0,0,0,0,0,1
the-yellows.eu,0,0,/www.paypal.com/paypal/www.PayPal.com%20Full-Z/ffggf5g9652g6g526g2g6dgd2g6g26g5gf63g26g52g/,1,http,0,1,1,1,0,1,0,1,1,0,1
www.softshape.com,0,0,/cham/,0,http,0,0,0,0,0,1,0,0,0,0,2
bank.barclays.co.uk.olb.auth.loginlink.action.loginlink.action.loginlink.action.loginlink.action.onandoffagain.com,0,0,/cloudit/,0,http,0,1,1,0,0,1,0,1,0,0,1
recover-acct8431.esy.es,0,0,/index.html,1,http,0,2,0,1,1,1,0,1,1,0,1
radzacatz.homestead.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,1
www.pamferdin.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.rootconcepts.com,0,0,,0,http,0,0,0,2,0,2,0,0,0,0,1
www.mir-holoda.by,0,0,/price.files/adobeCom/inc/index.php,1,http,0,1,2,1,0,1,0,1,0,0,2
www.rtproservices.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,1
saldofgtsgov.com,0,0,/caixa.gov.br/pages/inter/index.php,0,http,0,1,2,0,0,1,0,1,1,0,1
animaldiversity.ummz.umich.edu,0,0,/site/accounts/information/picoides_scalaris.html,0,http,0,1,1,1,0,1,0,0,0,0,0
emaillsantander.com,0,0,/mobile/app/manage.php,0,http,0,0,0,0,0,1,0,1,1,0,1
www.discarnate.com,0,0,/boysnextdoor/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.cityparrots.org,0,0,/,0,http,0,0,0,2,0,1,0,0,0,0,2
www.timezonesforpcs.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.altana.com.ar,0,0,,0,http,0,2,0,1,1,1,0,0,0,0,1
www.kenyabirds.org.uk,0,0,/barbet-wh.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
www.sarley.com,0,0,,0,http,0,0,0,0,0,0,0,0,0,0,1
inhomecareidaho.com,0,0,/wp-includes/news/dropbaka/07b4089c45eabdd3349d4d8ba473301a/pindex.php,0,http,0,0,1,0,0,1,0,1,0,0,1
www.sea.com.sa,0,0,/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index,0,http,0,1,1,1,0,1,0,1,0,0,2
it-maintenance.tripod.com,0,0,/,1,http,0,0,0,0,0,0,0,1,0,0,1
indexdateprofile.890m.com,0,0,/match/info,0,http,0,0,0,0,0,0,0,1,1,0,0
www.pepperjam.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.uvm.edu,0,0,/~uvmtv/,0,http,0,0,0,1,0,1,0,0,0,0,0
hubenbartl.at,0,0,/www.google.com/,0,http,0,2,0,1,0,1,0,1,0,0,1
christ-college.com,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
recover-acct5487.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1
www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
www.geocities.com,0,0,/shinji_is_my_man/,0,http,0,0,0,2,0,2,0,0,0,0,2
superhousepictures.com,1,0,/dhl/awb/tracking/DHL%20AUTO/dhl.php,0,http,0,1,1,0,0,1,0,1,0,0,1
sharkprojects.fruitfuldemo.com,0,0,/css/Yahoologin.htm,0,http,0,2,2,0,0,1,0,1,0,0,1
www.emba.uvm.edu,0,0,/~mirchand/,0,http,0,2,0,1,0,1,0,0,0,0,0
englishnf.pinguins.info,0,0,/,0,http,0,0,0,0,0,0,0,0,1,0,2
www.newsdesign.com.hk,0,0,,0,http,0,2,0,2,0,2,0,0,0,0,1
brimkers.com,0,0,/superprojects/aidss/,0,http,0,0,0,1,1,1,0,1,1,0,1
question.pcubelive.com,0,0,/investment/html/,0,http,0,0,0,0,0,1,0,1,0,0,2
recovery-account-fb-chekpoin-8108.esy.es,0,0,/recovery/index.html,1,http,0,2,2,1,1,1,0,1,1,0,1
freberg.westnet.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,2
hydracsa.com,0,0,/po/io/index.html,0,http,0,0,0,0,0,1,0,1,0,0,1
advancemedical-sa.com,0,0,/file/review.pg/manage/,1,http,0,0,0,0,0,1,0,1,0,0,1
www.corante.com,0,0,/loom/archives/2005/04/28/reports_of_my_extinction_are_greatly_exaggerated.php,0,http,0,2,1,2,0,2,0,0,1,0,2
xn--https-servio-85-omb.jelastic.regruhosting.ru,0,0,/www.santander.com.br/br/Cadastramento/pessoa-fisica/santander-van-gogh/index1.php,1,http,0,1,1,0,0,1,1,1,0,0,2
www.hentai-comics.com,0,0,/,1,http,0,0,0,2,0,2,0,0,0,0,2
lhndemo.com,0,0,/wp-css/update.html,0,http,0,0,0,1,1,1,0,1,1,0,1
distrisopecas.com.br,0,0,/contato/Adobepdf/,0,http,0,0,0,1,0,1,0,1,0,0,1
www.rubiconproductions.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
www.mynotescenter.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.kenyabirds.org.uk,0,0,/great_cormorant.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
www.kellogg-rice.com,0,0,,1,http,0,0,0,0,0,1,0,0,0,0,1
www.submit-url.net,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
www.alaedincenter.com,0,0,/.modul/.triads/board3/blackboard.htm,0,http,0,1,2,0,0,1,0,1,0,0,2
www.vcpresentations.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,1
www.uvm.edu,0,0,/~jdion/,0,http,0,0,0,1,0,1,0,0,0,0,0
www.xnotestopwatch.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
zip.net,0,0,/bltHKt,0,http,0,0,0,0,0,0,0,1,0,0,0
www.blacktide.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
www.amonline.net.au,0,0,/factsheets/silvereye.htm,0,http,0,1,0,1,0,1,0,0,0,0,2
www.woodpeckersofeurope.info,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
www.ceylon.ws,0,0,,0,http,0,0,0,1,0,1,0,0,0,0,1
recover-fb-warning01.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1
www.pawtrixcove.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
www.uvm.edu,0,0,/~pmrc/pmrccam.html,0,http,0,2,0,1,0,1,0,0,0,0,0
www.utech.net.au,0,0,/index.php,0,http,0,1,1,1,0,1,0,0,1,0,1
www.botecodomarianobit.com,0,0,/pages2/inter/home.html,0,http,0,2,2,1,1,1,0,1,1,1,1
freberg.westnet.com,0,0,/list.html,0,http,0,2,0,0,0,1,0,0,0,1,2
biology.mhc.edu,0,0,/ybsa/,0,http,0,0,0,1,0,1,0,0,1,0,1
www.ecutrack.com,0,0,/box1/dropbx.php,0,http,0,2,0,0,0,1,0,1,0,0,1
www.lughstudio.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,2
eebweb.arizona.edu,0,0,/faculty/hopp/vireo.html,0,http,0,2,0,1,0,1,0,0,0,0,0
medixasia.com,0,0,/ADE/GD/,0,http,0,0,0,0,0,1,0,1,1,0,1
dentalimplantformula.com,0,0,/nichepatients.com/,0,http,0,0,0,2,0,1,0,1,0,0,1
www.clickimagem.pt,0,0,/modules/mod_banners/docume.php,0,http,0,2,2,1,1,1,0,1,0,0,1
primoframe.com,0,0,/amber/,0,http,0,0,0,0,0,1,0,1,0,0,1
p.webring.com,0,0,/hub,0,http,0,0,0,0,0,0,0,0,0,0,2
www.platinumservices.com,0,0,,0,http,0,0,0,0,0,0,0,0,0,0,1
www.stanfordalumni.org,0,0,/birdsite/text/species/hutton's_vireo.html,0,http,0,2,2,0,0,1,0,0,0,0,2
www.imacron.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,1
migratorybirds.fws.gov,0,0,/issues/cormorant/greatlakes_q&amp,0,http,0,2,2,1,0,1,0,0,0,0,0
www.mastercardpromocao.16mb.com,0,0,/,0,http,0,2,0,0,0,0,0,1,1,0,1
cartaopremiadosicoob.com,0,0,,0,http,0,0,0,1,1,1,0,1,1,0,1
piewerks.com,0,0,/chinex/ogs/draft/mail.htm,0,http,0,0,1,2,0,2,0,1,0,0,1
ambrosiabanquethall.com,0,0,/mtdocss/index.php,0,http,0,0,0,0,0,1,0,1,1,0,1
shastivelcotton.com,0,0,/images/trash/Indexxatt/Indexxatt.htm,0,https,0,0,2,0,0,1,0,1,0,0,1
www.hentaineko.com,0,0,/html_peekv/peek_vgames.shtml,0,http,0,2,2,0,0,1,0,0,0,0,2
www.vasta.org,0,0,/professional_index/fraleyp.html,0,http,0,2,0,0,0,1,0,0,0,0,2
aboutus.in,0,0,/admin/outlook/validate/WebAdmin/Outlook%20Web%20App.htm,0,http,0,0,2,1,0,1,0,1,0,0,1
ativar-cadastro.pe.hu,0,0,/ml/ml/mercadolivre/,1,http,0,0,0,1,0,1,0,1,1,0,1
www.kenyabirds.org.uk,0,0,/ry_barbet.htm,0,http,0,1,0,0,0,0,0,0,0,0,1
sarmawola.pl,0,0,/signin/,0,http,0,0,0,0,0,1,0,1,0,0,1
nasydco.com,0,0,/wp-includes/paypal.com.au/webscr.html,0,http,0,1,2,0,0,1,0,1,0,0,2
www.vldigital.com,0,0,,0,http,0,0,0,0,0,1,0,0,0,0,1
